City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,perryville,37.7242,-89.8612,17.16,77,100,3.0,US,1682704800
1,tralee,52.2704,-9.7026,14.5,85,82,1.65,IE,1682704800
2,chonchi,-42.6128,-73.8092,14.1,92,98,5.59,CL,1682704800
3,queanbeyan,-35.35,149.2333,13.65,97,100,1.46,AU,1682704800
4,bethel,41.3712,-73.414,13.39,59,0,4.99,US,1682704800
5,port mathurin,-19.6833,63.4167,25.9,82,6,6.62,MU,1682704800
6,port-aux-francais,-49.35,70.2167,6.53,84,88,11.17,TF,1682704800
7,port alfred,-33.5906,26.891,20.49,90,27,3.37,ZA,1682704800
8,abong mbang,3.9833,13.1833,23.27,80,100,1.37,CM,1682704800
9,fortuna,40.5982,-124.1573,21.21,58,18,2.11,US,1682704800
10,kerikeri,-35.2268,173.9474,15.98,95,100,5.61,NZ,1682704800
11,ust-nera,64.5667,143.2,-8.81,99,89,0.68,RU,1682704800
12,adamstown,-25.066,-130.1015,24.31,73,99,4.67,PN,1682704800
13,talnakh,69.4865,88.3972,-9.33,89,63,0.94,RU,1682704800
14,nobres,-14.7203,-56.3275,31.75,56,4,0.57,BR,1682704800
15,bonthe,7.5264,-12.505,29.23,67,84,4.96,SL,1682704800
16,chernyakhovsk,54.6335,21.8156,4.87,70,64,2.24,RU,1682704800
17,conceicao da barra,-18.5933,-39.7322,28.02,65,86,3.56,BR,1682704800
18,iqaluit,63.7506,-68.5145,-0.17,86,100,4.42,CA,1682704800
19,magdagachi,53.45,125.8,-1.72,78,45,2.17,RU,1682704800
20,aasiaat,68.7098,-52.8699,-3.56,69,37,3.15,GL,1682704800
21,guane,22.2025,-84.0875,31.79,50,87,6.73,CU,1682704800
22,urengoy,65.9667,78.3667,-7.21,91,100,11.79,RU,1682704800
23,hawaiian paradise park,19.5933,-154.9731,23.71,91,0,2.57,US,1682704800
24,calvinia,-31.4707,19.776,13.63,52,90,2.18,ZA,1682704800
25,college,64.8569,-147.8028,2.54,63,75,1.14,US,1682704800
26,island harbour,50.724,-1.2758,16.9,79,100,4.1,GB,1682704800
27,cooma,-36.2333,149.1333,9.52,94,100,1.48,AU,1682704800
28,walvis bay,-22.9575,14.5053,17.9,71,0,8.36,NA,1682704800
29,avarua,-21.2078,-159.775,23.44,64,75,5.25,CK,1682704800
30,al artawiyah,26.5053,45.3444,27.44,15,0,4.11,SA,1682704800
31,wailua homesteads,22.0669,-159.378,21.61,91,100,2.87,US,1682704800
32,georgetown,5.4112,100.3354,26.26,94,20,2.18,MY,1682704800
33,waitangi,-43.9535,-176.5597,13.33,90,96,5.33,NZ,1682704800
34,new norfolk,-42.7826,147.0587,8.31,68,95,1.37,AU,1682704800
35,kruisfontein,-34.0033,24.7314,18.27,68,82,3.06,ZA,1682704800
36,hermanus,-34.4187,19.2345,17.67,69,7,5.03,ZA,1682704800
37,tazacorte,28.629,-17.9293,23.42,75,20,3.94,ES,1682704800
38,bilibino,68.0546,166.4372,-15.16,88,97,1.46,RU,1682704800
39,port elizabeth,-33.918,25.5701,19.11,77,40,3.88,ZA,1682704800
40,port saint john's,-31.6229,29.5448,21.47,87,64,4.02,ZA,1682704800
41,lyubashivka,47.8372,30.2598,8.85,60,100,5.9,UA,1682704800
42,puerto natales,-51.7236,-72.4875,5.58,93,100,1.09,CL,1682704800
43,sokhumi,43.0033,41.0153,14.41,96,98,0.26,GE,1682704800
44,hamilton,39.1834,-84.5333,15.87,85,100,4.17,US,1682704800
45,punta arenas,-53.15,-70.9167,5.06,93,100,4.89,CL,1682704800
46,lerwick,60.1545,-1.1494,7.0,89,97,11.89,GB,1682704800
47,kuytun,54.3419,101.5036,4.36,97,100,2.82,RU,1682704800
48,udachny,66.4167,112.4,-6.21,99,87,2.61,RU,1682704800
49,takoradi,4.8845,-1.7554,27.46,77,100,3.93,GH,1682704800
50,albany,42.6001,-73.9662,16.57,46,100,4.54,US,1682704800
51,port lincoln,-34.7333,135.8667,12.77,67,54,4.29,AU,1682704800
52,laguna,38.421,-121.4238,25.16,53,0,0.49,US,1682704800
53,grytviken,-54.2811,-36.5092,3.61,98,100,5.33,GS,1682704800
54,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,59,40,2.11,RU,1682704800
55,wenchang,30.904,118.4887,16.0,86,100,3.49,CN,1682704800
56,alofi,-19.0595,-169.9187,25.37,100,100,8.73,NU,1682704800
57,kabompo,-13.5927,24.2008,17.68,61,56,1.71,ZM,1682704800
58,pangody,65.85,74.4859,-11.29,92,100,9.67,RU,1682704800
59,san patricio,28.017,-97.5169,28.08,61,9,6.15,US,1682704800
60,aktau,43.65,51.2,19.32,53,2,2.37,KZ,1682704800
61,sevan,40.5484,44.9487,8.87,69,100,0.78,AM,1682704800
62,port macquarie,-31.4333,152.9167,16.05,88,39,3.88,AU,1682704800
63,bredasdorp,-34.5322,20.0403,16.49,55,0,5.5,ZA,1682704800
64,tansen,27.8673,83.5467,17.47,37,68,2.82,NP,1682704800
65,eshowe,-28.8865,31.4699,17.19,88,5,1.63,ZA,1682704800
66,ilulissat,69.2167,-51.1,0.01,55,20,2.12,GL,1682704800
67,edinburgh of the seven seas,-37.0676,-12.3116,17.64,80,97,8.1,SH,1682704800
68,ribeira grande,38.5167,-28.7,16.22,77,20,10.59,PT,1682704800
69,qaqortoq,60.7167,-46.0333,4.39,50,0,3.04,GL,1682704800
70,el nido,11.1858,119.3956,28.79,73,6,3.92,PH,1682704800
71,jamestown,42.097,-79.2353,11.66,84,100,7.27,US,1682704800
72,la ronge,55.1001,-105.2842,4.14,87,75,2.45,CA,1682704800
73,isafjordur,66.0755,-23.124,0.02,64,75,4.71,IS,1682704800
74,quepos,9.4236,-84.1652,29.81,67,100,3.07,CR,1682704800
75,harnai,30.1005,67.9374,22.71,46,100,1.05,PK,1682704800
76,antonio enes,-16.2325,39.9086,25.38,68,21,3.39,MZ,1682704800
77,arraial do cabo,-22.9661,-42.0278,23.73,83,100,5.58,BR,1682704800
78,inhambane,-23.865,35.3833,23.99,78,20,3.37,MZ,1682704800
79,keflavik,64.0049,-22.5624,5.24,56,75,1.83,IS,1682704800
80,daru,-9.0763,143.2092,26.12,84,100,3.86,PG,1682704800
81,monte alegre,-2.0078,-54.0692,31.13,56,48,2.61,BR,1682704800
82,moree,-29.4667,149.85,18.26,63,66,5.75,AU,1682704800
83,luwero,0.8492,32.4731,18.66,99,95,0.73,UG,1682704800
84,isiro,2.7739,27.616,20.18,99,100,1.14,CD,1682704800
85,lompoc,34.6391,-120.4579,18.55,100,100,1.99,US,1682704800
86,vorgashor,67.5833,63.95,-7.41,93,98,6.19,RU,1682704800
87,sungai raya,0.7,108.9,26.25,86,100,0.82,ID,1682704800
88,papao,-17.75,-149.55,27.41,74,55,1.15,PF,1682704800
89,weno,7.4515,151.8468,26.97,89,100,8.71,FM,1682704800
90,zhezqazghan,47.7833,67.7667,20.32,18,0,2.17,KZ,1682704800
91,el granada,37.5027,-122.4694,17.49,77,20,1.57,US,1682704800
92,el idrissia,34.4454,2.5275,29.66,12,55,2.34,DZ,1682704800
93,p'ot'i,42.1462,41.672,13.66,94,100,3.43,GE,1682704800
94,belyy yar,53.6039,91.3903,15.94,41,0,5.06,RU,1682704800
95,borogontsy,62.6683,131.1683,-0.91,96,100,0.5,RU,1682704800
96,sivrihisar,39.4504,31.5341,3.13,74,95,5.09,TR,1682704800
97,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,3.71,EC,1682704800
98,the pas,53.8251,-101.2541,7.88,65,75,3.99,CA,1682704800
99,nova sintra,14.8667,-24.7167,20.23,80,0,6.43,CV,1682704800
100,lochbuie,40.0072,-104.7161,9.86,47,75,6.46,US,1682704800
101,inda silase,14.1031,38.2829,20.31,51,88,2.44,ET,1682704800
102,invercargill,-46.4,168.35,6.52,93,21,2.34,NZ,1682704800
103,blackmans bay,-43.0167,147.3167,8.43,79,82,1.45,AU,1682704800
104,montagu,-40.7667,144.9667,10.32,75,56,2.78,AU,1682704800
105,atafu village,-8.5421,-172.5159,29.28,74,12,8.43,TK,1682704800
106,opuwo,-18.0607,13.84,27.35,26,60,2.39,NA,1682704800
107,constantia,44.1833,28.65,13.38,59,99,4.64,RO,1682704800
108,dunedin,-45.8742,170.5036,12.11,87,0,1.42,NZ,1682704800
109,vilyuchinsk,52.9306,158.4028,0.14,80,98,1.81,RU,1682704800
110,saint-joseph,-21.3667,55.6167,23.99,75,23,4.61,RE,1682704800
111,dubbo,-32.25,148.6167,16.4,94,100,0.24,AU,1682704800
112,margaret river,-33.95,115.0667,11.68,78,62,1.48,AU,1682704800
113,qui nhon,13.7667,109.2333,26.15,86,34,0.09,VN,1682704800
114,la passe,45.5549,-0.8967,26.13,84,100,5.66,FR,1682704800
115,iskateley,67.6803,53.1512,-7.6,95,98,3.14,RU,1682704800
116,trinidad,-14.8333,-64.9,32.16,66,40,2.15,BO,1682704800
117,kikwit,-5.041,18.8162,25.27,69,90,0.96,CD,1682704800
118,ancud,-41.8697,-73.8203,14.7,87,100,11.94,CL,1682704800
119,sidi ifni,29.3797,-10.173,31.86,66,59,3.77,MA,1682704800
120,mabaruma,8.2,-59.7833,31.49,56,90,3.12,GY,1682704800
121,undurkhaan,47.3194,110.6556,0.53,40,73,2.0,MN,1682704800
122,chui,-33.6971,-53.4616,23.14,52,0,2.65,UY,1682704800
123,biltine,14.5333,20.9167,32.15,27,97,6.02,TD,1682704800
124,barah,13.7,30.3667,31.56,13,57,5.74,SD,1682704800
125,mino,34.8269,135.4706,14.87,75,100,1.51,JP,1682704800
126,puerto ayora,-0.7393,-90.3518,28.08,88,46,3.67,EC,1682704800
127,radziejow,52.6248,18.5277,14.13,66,91,3.6,PL,1682704800
128,goundam,16.4145,-3.6708,36.58,5,2,2.18,ML,1682704800
129,shevchenko,48.5,35.0,9.39,91,100,7.26,UA,1682704800
130,tsiombe,-25.3,45.4833,22.31,70,10,7.19,MG,1682704800
131,papatowai,-46.5619,169.4708,8.62,86,9,1.51,NZ,1682704800
132,kolondieba,11.0882,-6.8926,37.91,15,56,0.75,ML,1682704800
133,whitehorse,60.7161,-135.0538,3.36,56,75,3.84,CA,1682704800
134,priozersk,61.0393,30.1291,7.49,84,77,2.35,RU,1682704800
135,meulaboh,4.1363,96.1285,24.45,90,100,1.09,ID,1682704800
136,hotan,37.0997,79.9269,15.61,11,75,2.45,CN,1682704800
137,mount pearl,47.5166,-52.7813,3.59,85,75,7.75,CA,1682704800
138,kodiak,57.79,-152.4072,2.81,93,100,5.27,US,1682704800
139,franceville,-1.6333,13.5836,26.25,83,75,1.27,GA,1682704800
140,tazovsky,67.4667,78.7,-11.18,91,99,8.3,RU,1682704800
141,mount gambier,-37.8333,140.7667,9.81,78,67,1.45,AU,1682704800
142,galesong,-5.3166,119.3661,26.01,85,100,1.04,ID,1682704800
143,morehead,37.2711,-87.1764,15.56,90,100,4.41,US,1682704800
144,angul,20.85,85.1,29.73,42,72,1.07,IN,1682704800
145,revda,56.801,59.9303,3.76,70,70,1.46,RU,1682704800
146,khandyga,62.6667,135.6,-2.68,99,100,0.57,RU,1682704800
147,west island,-12.1568,96.8225,27.57,94,75,4.61,CC,1682704800
148,south hedland,-20.4089,118.5983,28.25,36,90,8.8,AU,1682704800
149,longyearbyen,78.2186,15.6401,-0.82,93,100,3.11,SJ,1682704800
150,howard springs,-12.497,131.047,25.22,93,65,0.68,AU,1682704800
151,olonkinbyen,70.9221,-8.7187,-3.56,92,100,14.34,SJ,1682704800
152,sinabang,2.4803,96.3801,26.11,83,100,0.28,ID,1682704800
153,codrington,-38.2667,141.9667,10.37,78,59,2.65,AU,1682704800
154,ulladulla,-35.35,150.4667,16.54,91,100,2.12,AU,1682704800
155,karlskrona,56.1616,15.5866,8.25,71,83,2.68,SE,1682704800
156,hirtshals,57.5881,9.9592,7.12,61,100,1.8,DK,1682704800
157,rabo de peixe,37.8,-25.5833,17.73,82,20,6.95,PT,1682704800
158,las khorey,11.1595,48.1967,29.8,72,100,1.05,SO,1682704800
159,ghadamis,30.1337,9.5007,30.81,10,6,4.38,LY,1682704800
160,stanley,54.868,-1.6985,11.33,77,20,0.69,GB,1682704800
161,lame,10.4415,9.2396,31.19,27,99,2.46,NG,1682704800
162,lycksele,64.5954,18.6735,6.93,39,20,0.9,SE,1682704800
163,geraldton,-28.7667,114.6,16.51,47,0,7.88,AU,1682704800
164,dymer,50.7865,30.3026,11.32,61,72,3.95,UA,1682704800
165,turpan,42.9333,89.1667,19.53,13,8,0.65,CN,1682704800
166,thompson,55.7435,-97.8558,2.26,55,75,2.58,CA,1682704800
167,yellowknife,62.456,-114.3525,7.29,57,20,6.61,CA,1682704800
168,tura,25.5198,90.2201,24.97,35,38,1.79,IN,1682704800
169,grand gaube,-20.0064,57.6608,26.07,75,25,7.66,MU,1682704800
